,GEOID,geometry,P_WrkAge,Pct_AO1,R_HiWageWk,D1B,D1C,D3A,D3AMM,D3APO,D3B,D4A,D5AR,D5CRI
2649,360610005001,"POLYGON ((-74.026607 40.685881, -74.026446 40.686143, -74.026208 40.686442, -74.025574 40.687011, -74.024646 40.687921, -74.023772 40.688692, -74.022468 40.689922, -74.021494 40.69084, -74.020863 40.691416, -74.020623 40.691643, -74.020206 40.692027, -74.019854 40.692891, -74.019838 40.693036, -74.019664 40.693164, -74.019487 40.693222, -74.019211 40.693232, -74.018426 40.693277, -74.018001 40.693273, -74.017503 40.693268, -74.016842 40.69334, -74.016761 40.693343, -74.01646 40.693277, -74.016147 40.69322, -74.015646 40.693118, -74.01539 40.693063, -74.015199 40.69302, -74.01488 40.692961, -74.014271 40.692843, -74.014178 40.6928, -74.013662 40.69233, -74.013459 40.692131, -74.013416 40.69212, -74.013139 40.692183, -74.012719 40.692273, -74.012573 40.692304, -74.012522 40.692339, -74.012508 40.692361, -74.012408 40.692493, -74.01238 40.692532, -74.012332 40.692561, -74.012262 40.692575, -74.012182 40.692592, -74.012118 40.692606, -74.012042 40.692484, -74.011838 40.692154, -74.011872 40.692113, -74.011903 40.692091, -74.011935 40.692084, -74.012008 40.692068, -74.01203 40.692064, -74.012136 40.69204, -74.012201 40.692045, -74.01236 40.692108, -74.012446 40.69213, -74.012462 40.692213, -74.01254 40.692197, -74.012829 40.692139, -74.013242 40.692056, -74.013328 40.692027, -74.013326 40.691986, -74.013257 40.691917, -74.013195 40.691954, -74.01293 40.691673, -74.012866 40.691547, -74.012834 40.691517, -74.012734 40.691462, -74.012625 40.691409, -74.012576 40.691273, -74.012546 40.691193, -74.01249 40.691134, -74.012206 40.691124, -74.012225 40.690775, -74.012224 40.690441, -74.012253 40.690262, -74.012251 40.690061, -74.012277 40.68982, -74.012289 40.689587, -74.012306 40.689281, -74.012703 40.68879, -74.012887 40.688557, -74.013076 40.688312, -74.013169 40.688155, -74.013472 40.688012, -74.014243 40.687597, -74.014881 40.687254, -74.015249 40.687264, -74.015759 40.687293, -74.016 40.687309, -74.016205 40.687219, -74.016504 40.687075, -74.017029 40.686856, -74.016673 40.686434, -74.015189 40.686538, -74.015157 40.686417, -74.016673 40.686305, -74.017483 40.685342, -74.01762 40.685423, -74.016826 40.686329, -74.016786 40.686406, -74.017104 40.686826, -74.018495 40.686217, -74.018956 40.68597, -74.020271 40.685384, -74.020539 40.685259, -74.020227 40.684853, -74.019537 40.685126, -74.019441 40.685038, -74.020893 40.684348, -74.021013 40.684484, -74.020291 40.684789, -74.020617 40.685223, -74.020676 40.685196, -74.021075 40.685016, -74.02154 40.684807, -74.022012 40.684594, -74.02213 40.684541, -74.022443 40.684382, -74.022554 40.684332, -74.02212 40.683778, -74.023019 40.68292, -74.023163 40.68304, -74.022385 40.683786, -74.022735 40.684253, -74.022833 40.68421, -74.022985 40.68415, -74.023273 40.684056, -74.023406 40.684012, -74.023536 40.68397, -74.023729 40.683943, -74.023916 40.683925, -74.024106 40.68392, -74.024372 40.683928, -74.024754 40.683995, -74.025117 40.684076, -74.025335 40.684117, -74.025547 40.684184, -74.025843 40.684347, -74.026112 40.684581, -74.026281 40.684748, -74.026486 40.685034, -74.026589 40.685286, -74.026628 40.685504, -74.026607 40.685881))",0.0,0.0,63.0,0.0,1.109927189,23.09089164,0.0,23.09089164,114.9989321,1064.85,300540.0,0.246222765
2650,360610007001,"POLYGON ((-74.012508 40.706767, -74.011947 40.707452, -74.011703 40.707756, -74.011248 40.708304, -74.011012 40.708594, -74.010846 40.708797, -74.010542 40.709154, -74.010147 40.708976, -74.00966 40.708756, -74.009371 40.708614, -74.009829 40.708117, -74.010201 40.707694, -74.010082 40.707621, -74.010031 40.70759, -74.00985 40.707479, -74.009005 40.706939, -74.009502 40.706379, -74.010337 40.706903, -74.010542 40.707031, -74.010586 40.707059, -74.010676 40.707116, -74.01119 40.706278, -74.011873 40.706552, -74.0124 40.706785, -74.012508 40.706767))",0.859,0.127175368,4653.0,159.0903213,1038.845892,42.01185883,22.70866082,14.22742999,203.3222867,197.14,778878.0,0.63810972
2651,360610008001,"POLYGON ((-73.997444 40.714067, -73.996478 40.714107, -73.99484 40.714209, -73.994585 40.71369, -73.994459 40.713021, -73.997117 40.712799, -73.9973 40.713468, -73.997504 40.714069, -73.997444 40.714067))",0.461,0.0,159.0,168.3602963,183.0114976,22.79815986,0.745004643,22.05315521,0.0,281.64,854294.0,0.699895625
2652,360610008002,"POLYGON ((-73.997117 40.712799, -73.994459 40.713021, -73.994361 40.712308, -73.996947 40.712072, -73.997117 40.712799))",0.786,0.120728929,165.0,214.4523195,37.31560276,20.66505965,10.46308532,10.20197433,0.0,248.11,861150.0,0.705512526
2653,360610008003,"POLYGON ((-73.996947 40.712072, -73.994361 40.712308, -73.994263 40.711593, -73.995402 40.711489, -73.996782 40.711364, -73.996947 40.712072))",0.651,0.020484171,189.0,395.4957932,34.55335147,12.25495371,0.603995598,11.65095811,0.0,194.46,845642.0,0.69280732
2654,360610009001,"POLYGON ((-74.01443 40.703151, -74.014392 40.703598, -74.014255 40.704425, -74.014254 40.704461, -74.014259 40.704489, -74.014271 40.70452, -74.014289 40.704549, -74.013286 40.704655, -74.013326 40.705031, -74.013356 40.705415, -74.013254 40.705871, -74.012508 40.706767, -74.0124 40.706785, -74.011873 40.706552, -74.01119 40.706278, -74.01042 40.705998, -74.010276 40.705946, -74.009866 40.705797, -74.009995 40.705331, -74.009984 40.705148, -74.009747 40.704775, -74.009462 40.704545, -74.009103 40.704193, -74.008986 40.704079, -74.008541 40.703697, -74.00798 40.703189, -74.007949 40.70314, -74.007926 40.703108, -74.007903 40.703079, -74.007865 40.70302, -74.007851 40.703, -74.007814 40.702892, -74.007727 40.702802, -74.008018 40.702618, -74.00917 40.701859, -74.008777 40.701182, -74.007775 40.701616, -74.00745 40.701331, -74.008398 40.700911, -74.008249 40.700708, -74.008614 40.700464, -74.009535 40.701778, -74.010714 40.701494, -74.011174 40.701155, -74.010957 40.700194, -74.012345 40.700159, -74.013583 40.700371, -74.013673 40.700875, -74.013708 40.70107, -74.013723 40.701133, -74.013748 40.7012, -74.013814 40.701306, -74.013979 40.701531, -74.014011 40.701976, -74.014005 40.701998, -74.013991 40.702018, -74.013967 40.702044, -74.013929 40.702067, -74.013872 40.702082, -74.013839 40.702092, -74.013822 40.702105, -74.013809 40.702133, -74.013834 40.702406, -74.014206 40.702737, -74.014312 40.702864, -74.014354 40.702933, -74.014387 40.703004, -74.014413 40.703076, -74.01443 40.703151))",0.828,0.14491018,1057.0,29.17715862,1054.895029,42.12681441,17.84014014,15.1673725,190.3219282,178.37,847032.0,0.693946102
2655,360610148021,"POLYGON ((-73.953718 40.782056, -73.95326 40.782682, -73.951659 40.782008, -73.952122 40.781387, -73.952575 40.780753, -73.954176 40.781429, -73.953718 40.782056))",0.807,0.097480832,663.0,248.9793659,56.51881038,30.00978267,21.12838415,0.060616962,0.0,197.14,748134.0,0.612922148
2670,360610013001,"POLYGON ((-74.015202 40.708456, -74.014856 40.709394, -74.014054 40.709078, -74.013263 40.708731, -74.013592 40.707968, -74.014382 40.708224, -74.014698 40.707404, -74.015513 40.707707, -74.015202 40.708456))",0.855,0.140444444,1105.0,64.44094868,438.3394597,26.17711148,16.10106196,10.00576706,106.8062346,167.64,828217.0,0.678531577
2671,360610034002,"POLYGON ((-73.98179 40.728446, -73.981325 40.729086, -73.978998 40.728106, -73.979469 40.727468, -73.979906 40.726866, -73.982228 40.727846, -73.98179 40.728446))",0.752,0.020731707,556.0,205.8001349,65.50788937,18.44128668,0.0,18.44128668,73.29554055,0.0,720925.0,0.590630689
2672,360610034004,"POLYGON ((-73.983077 40.730659, -73.982564 40.731361, -73.980338 40.730448, -73.980858 40.729725, -73.981325 40.729086, -73.983543 40.730021, -73.983077 40.730659))",0.888,0.010781671,636.0,144.754228,62.06902543,34.406998,0.46784677,32.70537798,211.6741187,226.65,700332.0,0.573759506
